Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 42 100 130],[21 42 58],[30 35 41],[ 26  62 127],[43 57 20],[12 26 26],[12 24 23],[22 32 23],[17 23 22],[34 40 46],[18 73 41],[95 66 55],[39 17 16],[43 84 64],[33 61 34],[56 68 53],[31 12 11],[24 32 42],[19 87 50],[ 11 120  52],[55 21 43],[27 41 38],[29 45 42],[129  78  32],[55 70 29]
[ 37 115 129],[13 26 47],[28 30 38],[ 33  76 158],[70 63 35],[13 28 27],[14 25 24],[22 26 22],[10 24 23],[58 55 42],[23 46 47],[60 83 64],[35 17 15],[29 45 36],[21 59 37],[74 56 68],[24 26 11],[24 40 40],[ 12 121  50],[14 83 51],[49 37 49],[25 33 30],[24 38 28],[132  97  28],[29 55 22]
[ 41  87 114],[20 30 53],[21 31 37],[ 23  91 143],[53 54 25],[13 24 23],[ 9 23 24],[19 38 23],[20 37 25],[58 66 40],[21 56 28],[71 92 42],[19 13 20],[20 45 60],[13 38 23],[77 73 53],[28 15 13],[30 44 49],[14 79 49],[ 20 107  56],[72 20 40],[28 41 37],[28 37 33],[117  71  27],[56 54 22]
[ 29 123 136],[15 35 62],[31 38 36],[37 83 97],[61 53 25],[13 25 25],[11 26 27],[16 26 24],[23 35 28],[54 82 38],[ 2 21 13],[83 84 56],[30 30 18],[28 83 54],[23 66 34],[45 62 37],[28 11 13],[ 36  70 102],[ 21 103  53],[ 20 113  58],[58 15 43],[31 42 37],[23 45 35],[120  87  34],[52 77 26]
[ 37 114 133],[19 33 62],[21 27 33],[ 29  67 147],[60 66 39],[10 26 28],[13 23 27],[26 29 26],[16 22 20],[58 84 56],[19 59 44],[63 77 48],[36 13 14],[34 48 43],[40 55 52],[78 99 74],[29 20 22],[32 58 56],[16 93 57],[ 10 125  63],[24 22 40],[23 57 35],[26 37 43],[87 72 19],[10 35 19]
[ 47  85 130],[13 28 47],[28 27 32],[27 66 73],[62 75 46],[14 21 23],[13 26 27],[19 35 27],[15 24 17],[68 93 41],[20 56 43],[78 99 57],[39 23 19],[21 34 53],[25 57 41],[87 92 65],[41 14 12],[35 44 63],[ 17 101  52],[ 20 124  53],[60 27 42],[33 38 37],[27 37 31],[133 108  28],[27 41 36]
[ 42  84 122],[21 28 59],[32 34 41],[20 82 82],[48 75 32],[12 25 25],[13 26 26],[21 34 21],[21 35 22],[56 62 35],[18 65 48],[83 66 67],[26 13 16],[27 63 62],[23 57 44],[81 87 69],[29 17 10],[27 53 62],[14 80 52],[ 26 112  60],[55 34 53],[37 48 37],[33 53 44],[119  95  42],[33 43 44]
[ 44 107 124],[25 30 70],[33 29 41],[ 19  60 128],[47 50 42],[14 25 25],[11 22 24],[18 35 21],[22 41 22],[29 42 38],[18 45 32],[73 76 53],[30 15 12],[32 50 51],[22 59 36],[76 78 72],[30 21 16],[42 74 72],[ 19 113  58],[ 22 124  54],[67 30 45],[27 57 31],[28 44 42],[102 107  37],[27 48 27]
[ 45  99 123],[22 28 49],[30 32 51],[26 77 99],[32 43 20],[ 9 22 24],[12 25 23],[17 34 20],[16 28 16],[59 73 50],[22 58 50],[83 85 69],[27 31 21],[30 57 66],[16 47 38],[89 72 63],[29 38 12],[26 55 46],[ 10 114  58],[ 24 114  56],[52 37 50],[28 49 45],[18 28 33],[127 110  19],[44 47 28]
[ 49 100 122],[20 31 56],[31 25 29],[ 23  66 138],[73 61 28],[12 28 28],[11 27 26],[25 25 24],[24 27 27],[72 58 47],[21 73 41],[48 66 53],[29 23 15],[27 52 65],[17 51 43],[59 70 53],[35 30 16],[29 42 47],[ 90 127 300],[ 17 103  53],[62 25 38],[31 54 47],[23 53 37],[111  81  29],[60 83 28]
